shopper_id,shopper_experience_years,shopper_specialties,shopper_avg_rating,shopper_clients_count,shopper_locale,client_id,client_age,client_gender,client_income_bracket,client_preferred_categories,client_loyalty_tier,days_since_last_purchase,purchase_history_count,last_purchase_amount,recommended_product_ids,product_category,recommendation_channel,recommendation_datetime,time_to_purchase_hours,purchased
S0013,5,luxe;montres,3.02,267,FR,C100018,54,Other,low,sport,none,365,1,64.3,P307,luxe,app,2024-04-26T15:49:22,-1.0,False
S0110,12,luxe;montres,4.09,45,FR,C100019,56,M,low,voyage;maison,none,3,9,206.47,P865,sport,phone,2025-12-03T00:11:53,-1.0,False
S0018,16,luxe;montres,3.09,96,FR,C100020,57,Other,medium,voyage;tech,platinum,60,8,328.04,P614,accessoires,in-store,2024-02-05T19:38:12,-1.0,False
S0031,13,beauté,4.33,1046,FR,C100021,21,M,low,deco,platinum,7,7,59.93,P421,deco,app,2025-04-29T12:07:47,-1.0,False
S0155,2,beauté;parfum,3.93,166,FR,C100022,29,M,medium,mode,none,7,1,150.95,P437,enfants,email,2024-09-07T12:02:41,-1.0,False
S0054,6,mode;sport,3.4,887,FR,C100023,62,F,low,maison,none,1,6,223.54,P986,beauté,in-store,2024-03-01T23:40:07,-1.0,False
S0196,11,luxe;montres,4.39,1491,FR,C100024,52,Other,medium,mode;deco,none,1,4,175.44,P621,enfants,app,2024-12-04T08:09:25,-1.0,False
S0130,9,mode;accessoires,3.63,392,FR,C100025,60,F,medium,maison;luxe,platinum,3,7,441.13,P904,gaming,app,2024-11-13T07:40:58,-1.0,False
S0083,1,beauté;parfum,3.09,830,FR,C100026,74,M,low,beauté;deco,platinum,365,13,105.81,P315|P122,maison,app,2025-03-13T05:59:22,-1.0,False
S0190,3,beauté,4.74,415,FR,C100027,32,Other,high,gaming,platinum,14,21,29.9,P242,gaming,email,2024-12-08T21:08:53,2.35,True
S0081,3,tech;gadgets,3.96,123,FR,C100028,57,M,low,mode,gold,90,11,259.06,P656,gaming,in-store,2024-11-22T06:39:59,-1.0,False
S0044,14,maison;lifestyle,4.86,1057,FR,C100029,65,Other,low,deco,gold,90,7,295.07,P403,beauté,email,2024-10-07T07:12:15,-1.0,False
S0107,9,beauté,4.08,763,FR,C100030,20,M,low,beauté,none,180,1,335.76,P315,deco,app,2024-02-15T23:58:01,-1.0,False
S0124,3,beauté;parfum,3.65,141,FR,C100031,39,M,medium,maison,platinum,180,4,151.67,P535|P830,gaming,phone,2025-07-09T12:12:20,-1.0,False
S0024,15,mode;sport,4.24,1191,FR,C100032,26,Other,high,tech,none,1,4,85.48,P782,accessoires,app,2025-10-24T23:03:35,-1.0,False
S0076,5,mode;enfants,4.22,382,FR,C100033,52,F,low,mode,none,3,18,39.09,P429,accessoires,in-store,2024-07-20T15:46:52,0.66,True
S0182,18,mode;enfants,4.73,936,FR,C100034,33,M,low,maison,none,365,17,84.32,P677,beauté,app,2024-03-05T01:10:17,-1.0,False
S0125,13,maison;lifestyle,3.58,1188,FR,C100035,36,F,medium,mode,none,30,1,55.88,P319,beauté,email,2024-12-21T11:04:24,-1.0,False
S0058,16,mode;sport,3.18,1661,FR,C100036,50,Other,medium,deco;maison,platinum,30,22,22.23,P115,beauté,email,2025-12-14T02:28:11,-1.0,False
S0173,10,mode;enfants,4.41,444,FR,C100037,28,M,high,voyage,gold,90,8,295.95,P852,mode,in-store,2025-02-28T02:39:01,-1.0,False
S0143,1,luxe;montres,3.5,598,FR,C100038,60,Other,low,accessoires,platinum,7,25,1.77,P642|P335,deco,email,2024-04-10T19:51:05,-1.0,False
S0092,1,mode;sport,3.65,1478,FR,C100039,43,F,high,voyage,gold,365,16,165.55,P585,deco,email,2024-04-19T06:08:32,8.46,True
S0085,14,luxe;montres,3.55,207,FR,C100040,57,Other,high,tech;accessoires,platinum,90,22,155.49,P870,deco,app,2024-03-05T05:10:24,-1.0,False
S0144,12,styling;conseil,4.25,1389,FR,C100041,41,M,low,mode,none,365,8,6.81,P896|P121,luxe,app,2024-03-12T10:05:31,-1.0,False
S0089,12,beauté,3.87,1847,FR,C100042,36,Other,high,enfants,none,180,4,256.4,P184|P242,mode,in-store,2025-01-07T00:23:54,-1.0,False
S0013,5,luxe;montres,3.02,267,FR,C100043,48,M,low,beauté,gold,90,9,750.44,P363,maison,app,2025-02-03T05:21:49,-1.0,False
S0041,3,mode;accessoires,4.35,1751,FR,C100044,40,F,medium,luxe,none,365,5,471.31,P509,accessoires,in-store,2024-04-16T17:05:07,-1.0,False
S0172,13,beauté,4.52,1383,FR,C100045,64,M,low,accessoires;mode,platinum,90,1,19.26,P976,luxe,email,2025-11-26T07:34:48,2.97,True
S0144,12,styling;conseil,4.25,1389,FR,C100046,64,Other,low,mode,none,180,1,112.03,P797,accessoires,phone,2024-06-10T19:42:27,-1.0,False
S0074,13,luxe;montres,3.63,1797,FR,C100047,32,M,low,deco,gold,1,1,328.11,P978,voyage,email,2024-04-27T05:22:20,-1.0,False
S0041,3,mode;accessoires,4.35,1751,FR,C100048,64,Other,high,voyage;tech,platinum,7,20,59.51,P866,luxe,email,2024-09-26T02:16:08,-1.0,False
S0109,10,beauté;parfum,4.29,1393,FR,C100049,70,Other,medium,gaming,silver,3,21,22.97,P120,mode,email,2025-11-06T05:08:22,-1.0,False
S0176,10,maison;deco,4.35,1063,FR,C100050,49,M,medium,tech,gold,1,1,60.49,P372,maison,phone,2024-03-30T06:47:58,-1.0,False
S0135,8,mode;enfants,3.8,1953,FR,C100051,59,M,high,luxe,none,1,10,99.09,P459|P868,enfants,in-store,2025-04-19T18:43:58,-1.0,False
S0080,20,styling;conseil,4.91,40,FR,C100052,63,M,high,voyage,none,14,5,210.89,P860,maison,app,2024-08-30T23:15:44,-1.0,False
S0160,6,tech;gadgets,4.37,770,FR,C100053,54,M,high,accessoires;maison,gold,365,16,11.11,P689|P138,beauté,phone,2024-04-30T21:46:47,-1.0,False
S0155,2,beauté;parfum,3.93,166,FR,C100054,38,M,high,accessoires,gold,7,11,225.37,P956|P591,luxe,email,2024-03-09T12:21:33,26.42,True
S0106,14,maison;deco,4.18,72,FR,C100055,21,Other,high,maison;gaming,none,60,25,74.65,P668|P824,deco,phone,2024-08-05T08:44:16,31.75,True
S0192,4,luxe;montres,4.69,1272,FR,C100056,42,F,low,mode,silver,60,9,207.69,P891,enfants,app,2025-09-16T21:32:45,-1.0,False
S0099,6,beauté;parfum,4.81,1879,FR,C100057,46,M,high,accessoires;voyage,silver,365,6,91.12,P992,deco,app,2024-04-01T21:12:24,17.34,True
S0022,7,luxe;montres,3.45,317,FR,C100058,49,M,high,gaming;tech,none,14,23,140.57,P348,mode,in-store,2024-12-31T22:24:58,-1.0,False
S0082,6,styling;conseil,3.92,908,FR,C100059,33,Other,high,enfants,none,365,17,174.66,P414,mode,app,2025-02-13T18:52:07,-1.0,False
S0188,16,mode;enfants,4.91,568,FR,C100060,74,M,high,sport,none,1,6,24.09,P582,enfants,app,2025-12-17T17:56:14,46.82,True
S0064,17,mode;sport,4.47,862,FR,C100061,23,Other,high,deco;mode,none,3,9,257.44,P907,luxe,email,2024-09-21T10:10:53,-1.0,False
S0138,8,beauté;parfum,3.5,444,FR,C100062,46,F,medium,luxe,none,90,6,482.47,P577,deco,in-store,2025-02-07T16:05:54,-1.0,False
S0098,18,luxe;montres,4.68,1238,FR,C100063,36,M,high,beauté,gold,180,4,379.73,P422,deco,app,2024-09-06T15:53:52,-1.0,False
S0012,13,mode;sport,4.83,273,FR,C100064,53,M,high,tech;mode,silver,180,2,143.31,P691,beauté,in-store,2024-12-23T01:37:51,-1.0,False
S0037,16,beauté;parfum,3.83,1550,FR,C100065,25,F,medium,enfants;voyage,platinum,1,17,87.38,P314,accessoires,in-store,2024-06-02T04:59:57,-1.0,False
S0175,19,luxe;montres,4.7,704,FR,C100066,51,F,medium,sport,platinum,3,10,200.22,P783,voyage,email,2024-09-17T17:32:12,-1.0,False
S0099,6,beauté;parfum,4.81,1879,FR,C100067,31,Other,medium,enfants,platinum,365,1,41.57,P548,sport,email,2024-12-07T20:49:52,-1.0,False
S0064,17,mode;sport,4.47,862,FR,C100068,68,Other,high,gaming,platinum,90,3,50.45,P584,mode,app,2024-10-10T05:30:37,-1.0,False
S0140,9,tech;gadgets,3.01,581,FR,C100069,56,Other,high,luxe,silver,3,19,114.45,P530|P431,enfants,phone,2025-03-14T04:15:43,5.14,True
S0133,10,mode;accessoires,3.53,669,FR,C100070,61,Other,low,mode,none,1,16,125.6,P591,deco,phone,2025-05-24T03:27:50,-1.0,False
S0139,10,beauté,4.2,1434,FR,C100071,19,F,low,deco;accessoires,none,60,9,124.22,P204,mode,app,2024-02-24T05:16:14,-1.0,False
S0189,9,mode;sport,4.88,1617,FR,C100072,26,M,low,deco;beauté,silver,30,12,219.39,P169,deco,app,2024-06-14T01:58:16,-1.0,False
S0003,6,beauté;parfum,3.59,1102,FR,C100073,29,M,high,mode,silver,3,6,252.18,P101,accessoires,in-store,2024-03-06T20:39:30,-1.0,False
S0102,20,maison;deco,4.99,1971,FR,C100074,40,Other,high,enfants,silver,2,20,164.45,P263,beauté,app,2025-09-26T10:00:55,10.22,True
S0086,8,mode;enfants,3.61,892,FR,C100075,21,Other,medium,deco;maison,silver,7,3,308.52,P893,accessoires,in-store,2025-11-22T01:34:22,-1.0,False
S0109,10,beauté;parfum,4.29,1393,FR,C100076,66,M,high,beauté;luxe,gold,60,19,109.24,P927,voyage,in-store,2025-05-11T08:15:43,-1.0,False
S0006,9,luxe;montres,4.69,907,FR,C100077,59,Other,high,sport,none,14,1,381.8,P613|P862,gaming,in-store,2025-04-03T11:41:42,-1.0,False
S0013,5,luxe;montres,3.02,267,FR,C100078,19,F,low,luxe;gaming,none,30,2,49.32,P495|P841,gaming,email,2024-05-17T06:54:27,-1.0,False
S0012,13,mode;sport,4.83,273,FR,C100079,72,M,medium,mode,none,1,16,149.77,P659,maison,phone,2024-05-26T06:34:58,-1.0,False
S0059,12,styling;conseil,4.78,1498,FR,C100080,32,F,low,gaming;maison,none,60,3,196.44,P342,mode,email,2024-11-02T05:04:15,-1.0,False
S0174,16,beauté;parfum,3.05,1948,FR,C100081,60,Other,high,tech;beauté,none,14,3,176.18,P592,gaming,email,2024-05-30T13:29:46,-1.0,False
S0061,19,luxe;montres,3.03,642,FR,C100082,29,M,low,gaming;sport,gold,180,5,99.5,P893,gaming,app,2024-03-14T01:57:13,56.97,True
S0024,15,mode;sport,4.24,1191,FR,C100083,45,F,medium,voyage,none,2,15,140.27,P658,maison,app,2025-11-07T09:51:57,-1.0,False
S0174,16,beauté;parfum,3.05,1948,FR,C100084,29,F,low,maison;sport,silver,30,7,213.19,P500|P592,deco,phone,2024-06-17T06:38:34,-1.0,False
S0175,19,luxe;montres,4.7,704,FR,C100085,39,M,low,tech,gold,3,4,63.66,P709,accessoires,email,2024-10-22T03:45:25,-1.0,False
S0181,1,styling;conseil,3.02,1136,FR,C100086,59,Other,medium,gaming,gold,7,4,246.13,P124,accessoires,email,2025-01-17T20:02:57,-1.0,False
S0057,19,mode;sport,4.55,1728,FR,C100087,47,M,high,accessoires;sport,silver,60,17,0.4,P753,gaming,app,2025-10-24T20:07:06,-1.0,False
S0112,7,maison;lifestyle,3.29,1750,FR,C100088,49,M,low,sport;luxe,gold,14,11,204.36,P937,voyage,app,2025-08-18T02:23:20,-1.0,False
S0023,1,mode;accessoires,4.69,1101,FR,C100089,53,F,high,enfants;sport,platinum,7,26,90.08,P645,beauté,phone,2025-09-02T11:49:25,35.55,True
S0113,15,mode;sport,3.4,696,FR,C100090,23,Other,low,voyage;luxe,none,60,14,229.9,P221,voyage,phone,2024-06-24T10:05:08,-1.0,False
S0067,2,beauté,3.93,1936,FR,C100091,57,F,medium,beauté;tech,none,3,2,90.6,P182,mode,in-store,2025-01-07T08:21:21,-1.0,False
S0136,8,mode;sport,4.54,1925,FR,C100092,51,M,low,beauté;luxe,none,90,7,236.11,P423,luxe,email,2024-11-13T14:45:08,-1.0,False
S0115,4,beauté;parfum,3.1,1876,FR,C100093,43,M,low,maison,none,30,1,397.68,P261,sport,phone,2025-03-08T09:53:27,-1.0,False
S0087,16,beauté;parfum,3.69,1506,FR,C100094,29,F,high,maison,none,3,19,129.15,P968|P728,beauté,app,2025-10-02T19:02:26,-1.0,False
S0081,3,tech;gadgets,3.96,123,FR,C100095,27,Other,low,mode;luxe,platinum,30,16,17.62,P285|P557,maison,in-store,2024-08-25T00:07:14,-1.0,False
S0075,8,mode;enfants,3.45,1449,FR,C100096,25,Other,medium,accessoires;beauté,platinum,1,11,357.93,P543|P800,gaming,phone,2025-02-12T04:47:29,-1.0,False
S0024,15,mode;sport,4.24,1191,FR,C100097,35,Other,high,voyage;deco,none,60,7,229.59,P591,beauté,phone,2025-06-16T20:35:16,-1.0,False
S0179,6,maison;deco,3.2,971,FR,C100098,64,Other,high,tech,platinum,180,7,64.06,P746|P666,luxe,phone,2025-12-30T03:10:17,-1.0,False
S0146,4,maison;deco,3.7,296,FR,C100099,58,M,medium,sport;enfants,gold,2,12,84.53,P697,luxe,email,2024-03-17T15:35:07,-1.0,False
S0050,9,maison;lifestyle,3.55,1344,FR,C100100,36,M,high,tech;beauté,none,7,8,126.24,P905,luxe,phone,2025-07-21T17:57:03,-1.0,False
S0116,3,mode;enfants,3.33,1478,FR,C100101,67,M,high,voyage,gold,180,18,186.01,P172,gaming,app,2024-05-01T06:35:26,-1.0,False
S0040,10,mode;sport,4.01,520,FR,C100102,66,F,high,beauté,none,2,1,185.11,P271|P737,sport,email,2024-08-14T02:47:30,17.24,True
S0161,17,beauté;parfum,3.27,1886,FR,C100103,20,Other,low,voyage;mode,silver,60,13,158.0,P768|P742,sport,in-store,2025-01-09T10:03:54,-1.0,False
S0048,7,maison;lifestyle,3.17,1421,FR,C100104,26,Other,medium,deco,gold,1,4,42.17,P542|P526,beauté,email,2025-01-18T01:40:07,-1.0,False
S0037,16,beauté;parfum,3.83,1550,FR,C100105,31,Other,high,gaming,gold,7,12,375.52,P242|P577,deco,app,2025-01-17T03:17:11,-1.0,False
S0024,15,mode;sport,4.24,1191,FR,C100106,23,F,medium,luxe,gold,365,16,484.77,P552,deco,phone,2024-03-30T19:31:34,-1.0,False
S0011,13,maison;deco,4.65,1535,FR,C100107,75,F,low,maison,platinum,2,10,83.18,P238,deco,phone,2024-09-07T07:54:51,-1.0,False
S0099,6,beauté;parfum,4.81,1879,FR,C100108,57,F,high,sport;beauté,gold,2,9,205.66,P136,enfants,phone,2024-09-01T06:46:05,1.11,True
S0182,18,mode;enfants,4.73,936,FR,C100109,56,F,high,enfants,platinum,365,3,556.89,P478,deco,phone,2024-02-09T21:38:07,14.44,True
S0129,6,luxe;montres,3.64,1706,FR,C100110,64,M,high,maison;sport,none,180,9,152.24,P767,beauté,app,2025-06-10T21:11:15,-1.0,False
S0174,16,beauté;parfum,3.05,1948,FR,C100111,18,Other,medium,luxe,platinum,14,5,51.2,P307,deco,email,2024-07-22T05:37:50,-1.0,False
S0056,3,beauté,4.18,807,FR,C100112,61,M,medium,deco;enfants,platinum,365,15,285.86,P494|P896,gaming,app,2025-07-12T20:42:34,46.95,True
S0064,17,mode;sport,4.47,862,FR,C100113,27,F,medium,deco,platinum,30,1,131.27,P790|P736,enfants,email,2024-09-30T22:30:41,-1.0,False
S0153,2,styling;conseil,4.47,827,FR,C100114,31,Other,medium,gaming,platinum,1,3,178.38,P359,gaming,in-store,2024-03-24T19:00:51,-1.0,False
S0048,7,maison;lifestyle,3.17,1421,FR,C100115,39,F,high,luxe;maison,platinum,2,2,239.64,P431,mode,in-store,2025-05-24T05:03:41,-1.0,False
S0088,16,maison;lifestyle,3.0,1680,FR,C100116,60,Other,medium,sport;luxe,none,2,1,2.87,P652,accessoires,in-store,2025-06-25T16:30:33,-1.0,False
S0186,18,luxe;montres,4.01,756,FR,C100117,24,Other,high,sport;maison,gold,30,13,59.98,P941,deco,phone,2024-05-26T01:27:02,-1.0,False
S0177,15,beauté;parfum,4.71,1025,FR,C100118,57,M,high,luxe;deco,platinum,7,16,171.44,P622|P828,tech,in-store,2024-08-26T01:07:27,-1.0,False
S0163,12,styling;conseil,3.24,1682,FR,C100119,54,F,low,beauté,none,1,1,198.45,P199,accessoires,in-store,2025-08-07T20:37:06,-1.0,False
S0198,17,luxe;montres,4.88,1269,FR,C100120,51,M,medium,sport,silver,14,20,213.29,P750,gaming,app,2024-03-08T12:25:53,-1.0,False
S0051,17,mode;sport,4.58,1757,FR,C100121,40,Other,high,luxe,gold,2,5,145.37,P395,luxe,email,2025-11-20T00:19:10,-1.0,False
S0133,10,mode;accessoires,3.53,669,FR,C100122,63,F,high,sport;deco,none,180,18,201.21,P564,tech,app,2024-10-03T14:07:27,-1.0,False
S0006,9,luxe;montres,4.69,907,FR,C100123,68,F,low,deco,gold,3,8,79.7,P297,mode,in-store,2025-03-30T20:37:23,-1.0,False
S0130,9,mode;accessoires,3.63,392,FR,C100124,49,F,medium,accessoires,platinum,2,16,389.29,P571,beauté,phone,2025-12-19T15:53:17,-1.0,False
S0163,12,styling;conseil,3.24,1682,FR,C100125,65,Other,high,mode;accessoires,none,14,20,143.73,P978|P510,beauté,app,2025-10-07T15:41:08,-1.0,False
S0142,4,mode;accessoires,4.86,22,FR,C100126,24,F,high,sport,gold,90,1,8.92,P786,voyage,phone,2025-03-22T04:06:35,-1.0,False
S0047,11,luxe;montres,4.39,778,FR,C100127,19,F,high,enfants,gold,14,1,110.0,P274,enfants,email,2025-05-19T13:21:28,-1.0,False
S0142,4,mode;accessoires,4.86,22,FR,C100128,19,Other,high,accessoires;voyage,none,1,1,85.71,P171,maison,app,2025-06-29T12:50:54,-1.0,False
S0108,8,luxe;montres,4.8,1451,FR,C100129,38,Other,low,sport;luxe,gold,30,18,416.47,P162,tech,email,2025-12-23T15:47:54,71.46,True
S0187,14,beauté;parfum,4.58,1261,FR,C100130,39,M,high,accessoires,none,60,7,394.01,P468|P152,deco,in-store,2024-08-10T23:02:43,-1.0,False
S0153,2,styling;conseil,4.47,827,FR,C100131,28,F,medium,gaming;deco,platinum,7,5,449.13,P729|P114,voyage,email,2025-02-01T20:00:33,-1.0,False
S0037,16,beauté;parfum,3.83,1550,FR,C100132,44,M,medium,tech,gold,30,6,137.73,P424,deco,email,2024-02-05T09:16:12,23.59,True
S0126,17,mode;sport,3.19,1331,FR,C100133,47,M,medium,mode;accessoires,none,2,5,289.14,P392,luxe,phone,2025-08-30T20:16:15,-1.0,False
S0039,5,beauté,4.43,1153,FR,C100134,73,M,high,maison;accessoires,gold,14,14,68.81,P554,tech,email,2024-03-08T02:11:04,-1.0,False
S0113,15,mode;sport,3.4,696,FR,C100135,62,Other,low,gaming;deco,gold,2,5,57.87,P414,sport,app,2024-08-19T12:28:41,54.62,True
S0158,14,beauté,3.34,1598,FR,C100136,58,M,low,mode,gold,14,9,198.2,P281,enfants,email,2024-08-06T05:13:32,-1.0,False
S0031,13,beauté,4.33,1046,FR,C100137,48,Other,medium,deco;mode,gold,3,1,111.69,P596,luxe,in-store,2024-03-07T22:47:46,25.18,True
S0077,10,beauté,3.32,494,FR,C100138,40,Other,high,gaming;voyage,gold,90,1,202.4,P383,mode,email,2024-10-10T08:38:52,-1.0,False
S0104,7,mode;enfants,4.07,309,FR,C100139,57,F,high,deco;luxe,platinum,60,20,7.05,P841|P953,mode,phone,2025-12-04T21:42:55,39.85,True
S0078,16,styling;conseil,3.24,853,FR,C100140,65,M,high,beauté,gold,14,16,70.58,P314,mode,phone,2024-05-06T06:57:04,-1.0,False
S0131,4,beauté,3.97,1566,FR,C100141,56,Other,high,accessoires;deco,none,3,11,50.47,P198,tech,in-store,2024-10-29T02:50:19,-1.0,False
S0049,14,styling;conseil,4.66,713,FR,C100142,72,F,low,voyage,silver,7,12,185.25,P557,mode,app,2024-03-24T11:24:57,-1.0,False
S0012,13,mode;sport,4.83,273,FR,C100143,57,F,medium,deco,platinum,3,1,0.77,P563|P452,tech,phone,2025-07-21T13:23:45,8.2,True
S0099,6,beauté;parfum,4.81,1879,FR,C100144,44,Other,high,beauté,gold,1,11,28.6,P292|P230,beauté,app,2025-08-08T05:03:39,-1.0,False
S0144,12,styling;conseil,4.25,1389,FR,C100145,43,M,medium,deco,none,60,9,85.42,P845,accessoires,app,2025-08-08T06:35:40,-1.0,False
S0165,3,tech;gadgets,4.58,1112,FR,C100146,44,F,medium,gaming,platinum,60,24,46.29,P487|P711,beauté,app,2025-08-24T02:06:45,-1.0,False
S0083,1,beauté;parfum,3.09,830,FR,C100147,70,Other,medium,gaming;maison,platinum,60,4,398.85,P183,gaming,app,2025-05-07T13:47:06,-1.0,False
S0016,15,tech;gadgets,4.4,947,FR,C100148,31,F,low,luxe;enfants,gold,180,6,400.8,P253|P899,accessoires,email,2025-12-05T17:04:10,-1.0,False
S0038,20,beauté,3.51,448,FR,C100149,70,Other,low,luxe,silver,365,9,78.88,P800,sport,phone,2024-07-01T00:07:30,-1.0,False
S0056,3,beauté,4.18,807,FR,C100150,50,Other,low,accessoires;voyage,gold,180,20,356.09,P714,gaming,phone,2025-10-07T20:16:07,37.59,True
S0036,18,mode;accessoires,3.72,916,FR,C100151,44,F,medium,accessoires;deco,platinum,3,9,209.3,P450|P980,voyage,app,2024-07-22T20:26:27,-1.0,False
S0008,13,luxe;montres,4.44,1901,FR,C100152,66,M,high,voyage;maison,none,365,7,2.34,P340,maison,in-store,2025-05-15T17:22:32,40.96,True
S0096,13,mode;accessoires,4.06,1682,FR,C100153,19,M,high,accessoires,none,1,13,202.29,P784|P145,voyage,phone,2025-02-14T10:51:07,-1.0,False
S0033,9,beauté;parfum,4.34,1469,FR,C100154,53,Other,low,enfants,silver,2,3,285.47,P308,accessoires,email,2025-01-22T02:48:40,-1.0,False
S0183,17,luxe;montres,4.55,1926,FR,C100155,41,F,low,mode,platinum,60,5,140.15,P250,deco,app,2024-01-21T14:04:11,4.73,True
S0069,18,mode;sport,4.53,1948,FR,C100156,53,Other,high,enfants,silver,30,12,346.62,P104,tech,phone,2024-10-05T19:26:37,-1.0,False
S0147,3,styling;conseil,4.21,1009,FR,C100157,42,Other,medium,gaming;deco,platinum,365,12,536.36,P628,gaming,phone,2024-05-19T12:23:55,-1.0,False
S0021,11,maison;lifestyle,3.01,220,FR,C100158,33,F,high,voyage,none,3,15,18.37,P416,tech,email,2025-05-10T17:27:35,-1.0,False
S0129,6,luxe;montres,3.64,1706,FR,C100159,59,M,medium,tech;gaming,none,7,9,272.75,P985,beauté,app,2024-05-16T06:14:35,-1.0,False
S0015,3,mode;accessoires,4.84,1347,FR,C100160,62,Other,low,sport;voyage,platinum,30,1,386.71,P795,voyage,phone,2024-07-09T21:37:32,-1.0,False
S0164,1,tech;gadgets,3.37,193,FR,C100161,28,Other,low,enfants,platinum,14,1,31.5,P651,deco,app,2025-03-07T15:30:17,6.07,True
S0098,18,luxe;montres,4.68,1238,FR,C100162,57,F,medium,beauté;tech,platinum,60,12,160.85,P757,luxe,in-store,2024-12-15T02:25:28,-1.0,False
S0072,15,mode;accessoires,3.1,1634,FR,C100163,35,Other,high,maison,platinum,90,22,208.92,P338,enfants,app,2025-01-23T06:32:44,-1.0,False
S0125,13,maison;lifestyle,3.58,1188,FR,C100164,73,F,high,enfants;deco,gold,7,18,144.32,P433,voyage,in-store,2024-06-22T02:46:09,39.97,True
S0042,16,mode;enfants,3.15,1000,FR,C100165,39,M,low,enfants,none,1,12,289.57,P638,accessoires,phone,2025-11-22T03:21:57,-1.0,False
S0064,17,mode;sport,4.47,862,FR,C100166,32,Other,medium,gaming,gold,2,23,365.06,P559|P765,enfants,app,2024-05-21T16:54:09,-1.0,False
S0102,20,maison;deco,4.99,1971,FR,C100167,33,Other,high,deco;beauté,gold,90,3,107.34,P466,deco,phone,2025-12-29T22:23:34,-1.0,False
S0087,16,beauté;parfum,3.69,1506,FR,C100168,25,F,high,sport;accessoires,none,14,7,339.05,P351|P815,deco,email,2024-11-23T07:37:01,34.36,True
S0176,10,maison;deco,4.35,1063,FR,C100169,41,F,medium,sport,platinum,7,10,479.58,P686,accessoires,email,2025-10-06T12:24:28,-1.0,False
S0092,1,mode;sport,3.65,1478,FR,C100170,20,M,medium,luxe;gaming,silver,60,7,148.6,P707,sport,email,2025-08-22T22:15:33,-1.0,False
S0046,9,beauté,4.02,755,FR,C100171,45,M,high,gaming;mode,silver,180,13,316.02,P887,accessoires,email,2025-01-21T19:14:32,-1.0,False
